Test_Doc_Devanagari,Test_Scene_Devanagari,Training_Doc_Devanagari,Training_Scene_Devanagari,Script
12,4,6,0,Devanagari
9,5,0,2,Devanagari
2,11,0,5,Devanagari
0,11,3,2,Devanagari
1,6,0,4,Devanagari
2,3,0,6,Devanagari
5,0,0,6,Devanagari
0,6,0,7,Devanagari
1,11,0,0,Devanagari
0,9,0,5,Devanagari
0,8,0,0,Devanagari
2,3,0,3,Devanagari
5,0,0,1,Devanagari
4,9,0,4,Devanagari
0,11,2,0,Devanagari
1,9,0,4,Devanagari
0,0,0,10,Devanagari
2,3,0,5,Devanagari
2,8,0,1,Devanagari
1,1,8,2,Devanagari
1,0,0,7,Devanagari
1,5,0,1,Devanagari
5,2,0,2,Devanagari
0,0,0,7,Devanagari
1,0,0,2,Devanagari
0,2,0,8,Devanagari
2,3,0,4,Devanagari
2,3,0,3,Devanagari
2,0,0,8,Devanagari
0,3,0,3,Devanagari
7,5,2,4,Devanagari
1,5,0,10,Devanagari
1,5,0,0,Devanagari
2,5,0,8,Devanagari
3,1,0,6,Devanagari
0,5,0,6,Devanagari
0,5,6,4,Devanagari
12,0,0,4,Devanagari
0,0,0,4,Devanagari
2,0,0,10,Devanagari
0,0,0,0,Devanagari
5,0,7,0,Devanagari
0,6,3,5,Devanagari
2,2,0,0,Devanagari
0,11,0,4,Devanagari
2,0,0,0,Devanagari
2,0,0,0,Devanagari
7,6,0,1,Devanagari
0,4,0,0,Devanagari
0,9,3,6,Devanagari
3,4,5,4,Devanagari
2,5,0,0,Devanagari
0,0,0,0,Devanagari
0,5,0,0,Devanagari
0,8,0,4,Devanagari
2,0,6,2,Devanagari
2,3,0,9,Devanagari
2,0,0,10,Devanagari
4,6,0,5,Devanagari
2,6,0,2,Devanagari
2,0,0,0,Devanagari
2,2,0,0,Devanagari
2,4,0,4,Devanagari
0,4,5,3,Devanagari
1,3,2,8,Devanagari
2,11,4,0,Devanagari
0,3,0,17,Devanagari
0,5,0,2,Devanagari
0,0,6,0,Devanagari
0,5,0,4,Devanagari
3,1,0,3,Devanagari
0,,0,5,Devanagari
5,,1,2,Devanagari
4,,5,0,Devanagari
0,,0,5,Devanagari
2,,0,0,Devanagari
3,,3,0,Devanagari
0,,0,3,Devanagari
0,,0,6,Devanagari
0,,0,3,Devanagari
0,,4,0,Devanagari
9,,5,0,Devanagari
0,,0,0,Devanagari
2,,0,2,Devanagari
2,,0,2,Devanagari
0,,0,6,Devanagari
0,,0,3,Devanagari
0,,4,2,Devanagari
4,,0,13,Devanagari
0,,3,8,Devanagari
2,,2,1,Devanagari
3,,0,0,Devanagari
6,,4,0,Devanagari
2,,4,0,Devanagari
5,,0,0,Devanagari
0,,0,3,Devanagari
0,,0,6,Devanagari
1,,8,10,Devanagari
0,,0,0,Devanagari
2,,0,5,Devanagari
5,,0,4,Devanagari
0,,0,0,Devanagari
4,,6,6,Devanagari
2,,0,1,Devanagari
0,,0,0,Devanagari
5,,9,9,Devanagari
2,,7,0,Devanagari
2,,5,5,Devanagari
0,,8,4,Devanagari
0,,0,7,Devanagari
0,,0,0,Devanagari
0,,4,4,Devanagari
4,,4,3,Devanagari
4,,5,10,Devanagari
4,,6,0,Devanagari
0,,9,0,Devanagari
0,,0,0,Devanagari
0,,0,0,Devanagari
0,,4,4,Devanagari
2,,0,2,Devanagari
2,,0,0,Devanagari
0,,0,0,Devanagari
0,,1,4,Devanagari
0,,2,3,Devanagari
0,,5,1,Devanagari
0,,4,0,Devanagari
5,,4,0,Devanagari
0,,7,9,Devanagari
2,,5,0,Devanagari
0,,4,7,Devanagari
2,,4,3,Devanagari
6,,0,1,Devanagari
0,,5,0,Devanagari
5,,0,2,Devanagari
0,,4,5,Devanagari
0,,0,2,Devanagari
0,,5,3,Devanagari
6,,4,0,Devanagari
10,,5,5,Devanagari
0,,0,11,Devanagari
4,,4,5,Devanagari
3,,4,0,Devanagari
0,,0,7,Devanagari
0,,8,2,Devanagari
0,,0,0,Devanagari
0,,9,5,Devanagari
3,,11,0,Devanagari
2,,0,8,Devanagari
0,,2,5,Devanagari
0,,2,0,Devanagari
6,,3,0,Devanagari
1,,1,14,Devanagari
7,,0,2,Devanagari
0,,17,2,Devanagari
0,,0,4,Devanagari
0,,7,7,Devanagari
0,,2,10,Devanagari
6,,5,0,Devanagari
4,,6,1,Devanagari
0,,3,5,Devanagari
4,,0,7,Devanagari
10,,2,4,Devanagari
0,,0,4,Devanagari
8,,3,4,Devanagari
0,,6,6,Devanagari
0,,0,4,Devanagari
0,,5,0,Devanagari
0,,5,5,Devanagari
0,,0,9,Devanagari
2,,0,5,Devanagari
4,,4,6,Devanagari
3,,0,4,Devanagari
3,,5,4,Devanagari
0,,3,4,Devanagari
0,,0,0,Devanagari
0,,2,4,Devanagari
6,,0,8,Devanagari
8,,0,2,Devanagari
0,,0,0,Devanagari
0,,0,2,Devanagari
0,,0,6,Devanagari
0,,0,0,Devanagari
0,,0,2,Devanagari
0,,0,4,Devanagari
0,,6,3,Devanagari
0,,0,4,Devanagari
0,,1,2,Devanagari
