ImageName,ComponentLabel,Script,RecognizedText
image1.png,Text,Latin,The
image2.png,Text,Latin,Sops
image3.png,Text,Latin,Officers
image4.png,Text,Latin,Merit
image5.png,Text,Latin,kills
image6.png,Text,Latin,can't
image7.png,Text,Latin,wait
image8.png,Text,Latin,decide
image9.png,Text,Latin,CBI
image10.png,Text,Latin,chief
image11.png,Text,Latin,HOME
image12.png,Text,Latin,WOMEN
image13.png,Text,Latin,RESPECT
image14.png,Text,Latin,Millstone
image15.png,Text,Latin,TRACKS
image16.png,Text,Latin,PwC
image17.png,Text,Latin,IAS
image18.png,Text,Latin,officer
image19.png,Text,Latin,quits
image20.png,Text,Latin,citing
image21.png,Text,Latin,intolerance
image22.png,Text,Latin,quota
image23.png,Text,Latin,tag
image24.png,Text,Latin,on
image25.png,Text,Latin,muddled
image26.png,Text,Latin,of
image27.png,Text,Latin,executive
image28.png,Text,Latin,ahead
image29.png,Text,Latin,budget
image30.png,Text,Latin,LOUD
image31.png,Text,Latin,SBI
image32.png,Text,Latin,FOREIGN
image33.png,Text,Latin,Trump
image34.png,Text,Latin,address
image35.png,Text,Latin,escalates
image36.png,Text,Latin,battle
image37.png,Text,Latin,over
image38.png,Text,Latin,1995
image39.png,Text,Latin,border
image40.png,Text,Latin,wall
image41.png,Text,Latin,President
image42.png,Text,Latin,fear
image43.png,Text,Latin,cop
image44.png,Text,Latin,a
image45.png,Text,Latin,PETER
image46.png,Text,Latin,BAKER
image47.png,Text,Latin,Aussie
image48.png,Text,Latin,PM
image49.png,Text,Latin,Victim
image50.png,Text,Latin,red
image51.png,Text,Latin,NAKSHATRA
image52.png,Text,Latin,faced
image53.png,Text,Latin,after
image54.png,Text,Latin,shoe
image55.png,Text,Latin,gaffe
image56.png,Text,Latin,Taliban
image57.png,Text,Latin,talks
image58.png,Text,Latin,China
image59.png,Text,Latin,Bezos
image60.png,Text,Latin,was
image61.png,Text,Latin,set
image62.png,Text,Latin,Packages'
image63.png,Text,Latin,sent
image64.png,Text,Latin,to
image65.png,Text,Latin,India
image66.png,Text,Latin,missions
image67.png,Text,Latin,To
image68.png,Text,Latin,after
image69.png,Text,Latin,BIDDING
image70.png,Text,Latin,UN
image71.png,Text,Latin,studying
image72.png,Text,Latin,grants
image73.png,Text,Latin,refugee
image74.png,Text,Latin,status
image75.png,Text,Latin,Saudi
image76.png,Text,Latin,woman
image77.png,Text,Latin,Pak
image78.png,Text,Latin,SC
image79.png,Text,Latin,bar
image80.png,Text,Latin,content
image81.png,Text,Latin,from
image82.png,Text,Latin,MBA
image83.png,Text,Latin,channels
image84.png,Text,Latin,MPs
image85.png,Text,Latin,force
image86.png,Text,Latin,UK
image87.png,Text,Latin,govt
image88.png,Text,Latin,speed
image89.png,Text,Latin,plan
image90.png,Text,Latin,Available
image91.png,Text,Latin,University
image92.png,Text,Latin,B
image93.png,Text,Latin,Open
image94.png,Text,Latin,SC
image95.png,Text,Latin,IN
image96.png,Text,Latin,BRIEF
image97.png,Text,Latin,officials
image98.png,Text,Latin,idiots
image99.png,Text,Latin,says
image100.png,Text,Latin,Khamenei
image101.png,Text,Latin,wife
image102.png,Text,Latin,divorce
image103.png,Text,Latin,Rahul
image104.png,Text,Latin,roads
image105.png,Text,Latin,taunts
image106.png,Text,Latin,for
image107.png,Text,Latin,ducking
image108.png,Text,Latin,Rafale
image109.png,Text,Latin,debate
image110.png,Text,Latin,chest
image111.png,Text,Latin,protection
image112.png,Text,Latin,Modi
image113.png,Text,Latin,insulted
image114.png,Text,Latin,BJP
image115.png,Text,Latin,We
image116.png,Text,Latin,TRIUMPH
image117.png,Text,Latin,FADE
image118.png,Text,Latin,caste
image119.png,Text,Latin,backfire
image120.png,Text,Latin,worry
image121.png,Text,Latin,YADAV
image122.png,Text,Latin,New
image123.png,Text,Latin,Kejriwal
image124.png,Text,Latin,opposes
image125.png,Text,Latin,bill
image126.png,Text,Latin,after
image127.png,Text,Latin,support
image128.png,Text,Latin,tired
image129.png,Text,Latin,RS
image130.png,Text,Latin,clears
image131.png,Text,Latin,quota
image132.png,Text,Latin,amid
image133.png,Text,Latin,noise
image134.png,Text,Latin,ANITA
image135.png,Text,Latin,JOSHUA
image136.png,Text,Latin,Anti
image137.png,Text,Latin,"backward,"
image138.png,Text,Latin,says
image139.png,Text,Latin,drivers
image140.png,Text,Latin,RJD
image141.png,Text,Latin,Tejashwi
image142.png,Text,Latin,If
image143.png,Text,Latin,not
image144.png,Text,Latin,dozing
image145.png,Text,Latin,off
image146.png,Text,Latin,Exit
image147.png,Text,Latin,at
image148.png,Text,Latin,62
image149.png,Text,Latin,as
image150.png,Text,Latin,registrar
image151.png,Text,Latin,protect
image152.png,Text,Latin,trumps
image153.png,Text,Latin,or
image154.png,Text,Latin,AWAY
image155.png,Text,Latin,stay
image156.png,Text,Latin,teacher
image157.png,Text,Latin,HALLMARKED
image158.png,Text,Latin,Mobile
image159.png,Text,Latin,app
image160.png,Text,Latin,answer
image161.png,Text,Latin,to
image162.png,Text,Latin,cable
image163.png,Text,Latin,Modi
image164.png,Text,Latin,quota
image165.png,Text,Latin,chaos
image166.png,Text,Latin,Child
image167.png,Text,Latin,NO
image168.png,Text,Latin,hurt
image169.png,Text,Latin,bandh
image170.png,Text,Latin,attack
image171.png,Text,Latin,Home
image172.png,Text,Latin,sales
image173.png,Text,Latin,reverse
image174.png,Text,Latin,downtrend
image175.png,Text,Latin,govt's
image176.png,Text,Latin,JEE
image177.png,Text,Latin,BAG
image178.png,Text,Latin,METRO
image179.png,Text,Latin,Minibus
image180.png,Text,Latin,CHANCE
image181.png,Text,Latin,catches
image182.png,Text,Latin,fire
image183.png,Text,Latin,AMHERST
image184.png,Text,Latin,Austim
image185.png,Text,Latin,hub
image186.png,Text,Latin,on
image187.png,Text,Latin,pet
image188.png,Text,Latin,data
image189.png,Text,Latin,city
image190.png,Text,Latin,fringe
image191.png,Text,Latin,Lorry
image192.png,Text,Latin,down
image193.png,Text,Latin,SECONDS
image194.png,Text,Latin,man
image195.png,Text,Latin,Available
image196.png,Text,Latin,vibrant
image197.png,Text,Latin,Godown
image198.png,Text,Latin,Radeon
image199.png,Text,Latin,punished
image200.png,Text,Latin,MEANS
image201.png,Text,Latin,fire
image202.png,Text,Latin,Media
image203.png,Text,Latin,and
image204.png,Text,Latin,politicians
image205.png,Text,Latin,knocks
image206.png,Text,Latin,STAY
image207.png,Text,Latin,BAIDYABATI
image208.png,Text,Latin,Woman
image209.png,Text,Latin,Conclave
image210.png,Text,Latin,sharpen
image211.png,Text,Latin,CALCUTTA
image212.png,Text,Latin,AND
image213.png,Text,Latin,business
image214.png,Text,Latin,strategy
image215.png,Text,Latin,Natural
image216.png,Text,Latin,treatment
image217.png,Text,Latin,stands
image218.png,Text,Latin,matchless
image219.png,Text,Latin,CLOSE
image220.png,Text,Latin,combating
image221.png,Text,Latin,chronic
image222.png,Text,Latin,complicated
image223.png,Text,Latin,WEDNESDAY
image224.png,Text,Latin,MERIT
image225.png,Text,Latin,diseases
image226.png,Text,Latin,ADVT
image227.png,Text,Latin,Hakim
image228.png,Text,Latin,wins
image229.png,Text,Latin,poll
image230.png,Text,Latin,GOLD
image231.png,Text,Latin,clears
image232.png,Text,Latin,COBEN
image233.png,Text,Latin,mayoral
image234.png,Text,Latin,hurdle
image235.png,Text,Latin,and
image236.png,Text,Latin,Gujarat
image237.png,Text,Latin,Green
image238.png,Text,Latin,roofs
image239.png,Text,Latin,New
image240.png,Text,Latin,Town
image241.png,Text,Latin,Strike
image242.png,Text,Latin,throws
image243.png,Text,Latin,train
image244.png,Text,Latin,service
image245.png,Text,Latin,HARLAN
image246.png,Text,Latin,off
image247.png,Text,Latin,PARLE
image248.png,Text,Latin,then
image249.png,Text,Latin,pass
image250.png,Text,Latin,Jewelsouk
image251.png,Text,Latin,track
image252.png,Text,Latin,Case
image253.png,Text,Latin,against
image254.png,Text,Latin,DM
image255.png,Text,Latin,court
image256.png,Text,Latin,Happy
image257.png,Text,Latin,with
image258.png,Text,Latin,tavern's
image259.png,Text,Latin,modern
image260.png,Text,Latin,DETAIL
image261.png,Text,Latin,over
image262.png,Text,Latin,encounter
image263.png,Text,Latin,role
