ImageName,ComponentLabel,Script,RecognizedText
image0.png,Text,Latin,Reebok
image1.png,Text,Latin,Extra
image2.png,Text,Latin,OCTOBER
image3.png,Text,Latin,UNIVERSITY
image4.png,Text,Latin,lIbrary
image5.png,Text,Latin,fashion
image6.png,Text,Latin,UNIVERSITY
image7.png,Text,Latin,OF
image8.png,Text,Latin,ENGINEERING
image9.png,Text,Latin,THEY'RE
image10.png,Text,Latin,MANAGEMEN
image11.png,Text,Latin,NEW
image12.png,Text,Latin,TOWN.
image13.png,Text,Latin,DECEMBER
image14.png,Text,Latin,KOLKATA
image15.png,Text,Latin,NH-11
image16.png,Text,Latin,COURSES
image17.png,Text,Latin,COM
image18.png,Text,Latin,GASTRO
image19.png,Text,Latin,OFFERED
image20.png,Text,Latin,B.Tech
image21.png,Text,Latin,M.Tech.
image22.png,Text,Latin,LION
image23.png,Text,Latin,BBA
image24.png,Text,Latin,MICROCHIP
image25.png,Text,Latin,MBA
image26.png,Text,Latin,M.Sc
image27.png,Text,Latin,With
image28.png,Text,Latin,electives
image29.png,Text,Latin,Download
image30.png,Text,Latin,1920
image31.png,Text,Latin,Machine
image32.png,Text,Latin,Artificial
image33.png,Text,Latin,BENGAL
image34.png,Text,Latin,Cyber
image35.png,Text,Latin,Gandhi
image36.png,Text,Latin,MONOPOLY
image37.png,Text,Latin,Max
image38.png,Text,Latin,More
image39.png,Text,Latin,Fashion
image40.png,Text,Latin,Max
image41.png,Text,Latin,OFF
image42.png,Text,Latin,50
image43.png,Text,Latin,EVOLUTION
image44.png,Text,Latin,SALE
image45.png,Text,Latin,UPTO
image46.png,Text,Latin,Birthday
image47.png,Text,Latin,Career
image48.png,Text,Latin,Launcher
image49.png,Text,Latin,I.C.E
image50.png,Text,Latin,Imagine
image51.png,Text,Latin,THE
image52.png,Text,Latin,SITE
image53.png,Text,Latin,FOR
image54.png,Text,Latin,COMPLE X
image55.png,Text,Latin,TRAINING
image56.png,Text,Latin,Yoga
image57.png,Text,Latin,LIFT
image58.png,Text,Latin,Durga
image59.png,Text,Latin,INSTITUTE
image60.png,Text,Latin,SOON
image61.png,Text,Latin,OPENING
image62.png,Text,Latin,EJAZ
image63.png,Text,Latin,KARADI
image64.png,Text,Latin,SHOP
image65.png,Text,Latin,re
image66.png,Text,Latin,WE
image67.png,Text,Latin,here
image68.png,Text,Latin,STALL
image69.png,Text,Latin,Puja
image70.png,Text,Latin,ATIN
image71.png,Text,Latin,BANDYOPADHYAY
image72.png,Text,Latin,almost
image73.png,Text,Latin,year
image74.png,Text,Latin,HALL
image75.png,Text,Latin,Atin
image76.png,Text,Latin,Bandyopadhyay
image77.png,Text,Latin,1
image78.png,Text,Latin,March
image79.png,Text,Latin,1934
image80.png,Text,Latin,Laxmi
image81.png,Text,Latin,19
image82.png,Text,Latin,KAPIL
image83.png,Text,Latin,January
image84.png,Text,Latin,WBTC
image85.png,Text,Latin,Salt
image86.png,Text,Latin,2019
image87.png,Text,Latin,BROADBAND
image88.png,Text,Latin,ALLIAnce
image89.png,Text,Latin,Call
image90.png,Text,Latin,1800
image91.png,Text,Latin,BALM
image92.png,Text,Latin,1200
image93.png,Text,Latin,300
image94.png,Text,Latin,www.
image95.png,Text,Latin,445
image96.png,Text,Latin,0100120 I7098
image97.png,Text,Latin,alliancebroadband.
image98.png,Text,Latin,CO.
image99.png,Text,Latin,SPRINK
image100.png,Text,Latin,TMCP
image101.png,Text,Latin,.in
image102.png,Text,Latin,Kali
image103.png,Text,Latin,SMART
image104.png,Text,Latin,CITY
image105.png,Text,Latin,BBA
image106.png,Text,Latin,LLB
image107.png,Text,Latin,Department
image108.png,Text,Latin,Shastra
image109.png,Text,Latin,introduces
image110.png,Text,Latin,Kasur
image111.png,Text,Latin,UNIVERSITY
image112.png,Text,Latin,OF
image113.png,Text,Latin,Curricular
image114.png,Text,Latin,Fateha
image115.png,Text,Latin,ENGINEERING
image116.png,Text,Latin,MANAGEMENT
image117.png,Text,Latin,COSTA
image118.png,Text,Latin,RICA
image119.png,Text,Latin,Rights
image120.png,Text,Latin,ludo+
image121.png,Text,Latin,OUT
image122.png,Text,Latin,Methi
image123.png,Text,Latin,SUPER
image124.png,Text,Latin,ARGENTINA
image125.png,Text,Latin,Doaz
image126.png,Text,Latin,RUSSIA
image127.png,Text,Latin,JAPAN
image128.png,Text,Latin,com
image129.png,Text,Latin,Brain
image130.png,Text,Latin,ROUND
image131.png,Text,Latin,Dinajpur
image132.png,Text,Latin,BAS
image133.png,Text,Latin,RUOSH
image134.png,Text,Latin,FASTEST
image135.png,Text,Latin,Dahum
image136.png,Text,Latin,MARKET
image137.png,Text,Latin,AUTOMOBILES
image138.png,Text,Latin,MUKTADHARA
image139.png,Text,Latin,INC
image140.png,Text,Latin,NEW
image141.png,Text,Latin,YORK
image142.png,Text,Latin,HYDRO
image143.png,Text,Latin,DEPARTMENT
image144.png,Text,Latin,APPLICATIONS
image145.png,Text,Latin,cibaca
image146.png,Text,Latin,indian
image147.png,Text,Latin,MINISTRY
image148.png,Text,Latin,government
image149.png,Text,Latin,Opening
image150.png,Text,Latin,Of
image151.png,Text,Latin,CIVIL
image152.png,Text,Latin,EXTRA
image153.png,Text,Latin,F-4
image154.png,Text,Latin,Dabur
image155.png,Text,Latin,KOLKAIA
image156.png,Text,Latin,JUNCTION
image157.png,Text,Latin,Civilization
image158.png,Text,Latin,MBA
image159.png,Text,Latin,BOOK
image160.png,Text,Latin,FAIR
image161.png,Text,Latin,20%
image162.png,Text,Latin,adidas
image163.png,Text,Latin,Soon
image164.png,Text,Latin,PURITY
image165.png,Text,Latin,CORE
image166.png,Text,Latin,AMD
image167.png,Text,Latin,50
image168.png,Text,Latin,Guru
image169.png,Text,Latin,IIT
image170.png,Text,Latin,Holland
image171.png,Text,Latin,KHARAGPUR
image172.png,Text,Latin,RADEON
image173.png,Text,Latin,National
image174.png,Text,Latin,only
image175.png,Text,Latin,Digital
image176.png,Text,Latin,4G
image177.png,Text,Latin,Library
image178.png,Text,Latin,of
image179.png,Text,Latin,Nanak
image180.png,Text,Latin,India
image181.png,Text,Latin,"2,09,39,257"
image182.png,Text,Latin,EAST
image183.png,Text,Latin,items
image184.png,Text,Latin,hosted
image185.png,Text,Latin,in
image186.png,Text,Latin,TWINKEL
image187.png,Text,Latin,EDGE
image188.png,Text,Latin,NDL
image189.png,Text,Latin,SIBAL
image190.png,Text,Latin,X-mas
image191.png,Text,Latin,India
image192.png,Text,Latin,kissan
image193.png,Text,Latin,ENTER
image194.png,Text,Latin,Bengal
image195.png,Text,Latin,SEARCH
image196.png,Text,Latin,One
image197.png,Text,Latin,LibraryAllOfIndia
image198.png,Text,Latin,Grow
image199.png,Text,Latin,Share
image200.png,Text,Latin,Learn
image201.png,Text,Latin,CAFETRESSA
image202.png,Text,Latin,MAESTAD
image203.png,Text,Latin,airtel
image204.png,Text,Latin,Library
image205.png,Text,Latin,BRAINWARE
image206.png,Text,Latin,Emergency
image207.png,Text,Latin,UNIVERSITY
image208.png,Text,Latin,FRESH
image209.png,Text,Latin,BRAINWARE
image210.png,Text,Latin,UIVERSITY
image211.png,Text,Latin,Stall
image212.png,Text,Latin,intelligent
image213.png,Text,Latin,339
image214.png,Text,Latin,Schools
image215.png,Text,Latin,Accepted
image216.png,Text,Latin,4G
image217.png,Text,Latin,hoichoi
image218.png,Text,Latin,Services
image219.png,Text,Latin,MEDICAL
image220.png,Text,Latin,Cool
image221.png,Text,Latin,stuff
image222.png,Text,Latin,svf
image223.png,Text,Latin,ADMINISTRATIVE
image224.png,Text,Latin,CHARMIS
image225.png,Text,Latin,HITRA
image226.png,Text,Latin,PASTE
