Distance,Image_Type
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
2,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
3,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
3,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
5,Document
0,Document
0,Document
0,Document
7,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
2,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
2,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
2,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
9,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
2,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
2,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
2,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
2,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
1,Document
2,Document
0,Document
3,Document
2,Document
0,Document
0,Document
2,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
2,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
4,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
3,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
3,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
3,Document
0,Document
2,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
2,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
3,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
2,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
2,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
4,Document
2,Document
0,Document
0,Document
2,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
2,Document
0,Document
2,Document
1,Document
0,Document
0,Document
1,Document
3,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
3,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
2,Document
0,Document
0,Document
0,Document
2,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
7,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
1,Document
0,Document
0,Document
0,Document
3,Document
0,Document
0,Document
0,Document
0,Document
9,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
1,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
0,Document
