Distance,Script
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
1,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
2,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
3,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
3,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
5,Latin
0,Latin
0,Latin
0,Latin
7,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
2,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
1,Latin
2,Latin
0,Latin
0,Latin
1,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
2,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
9,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
1,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
0,Latin
1,Latin
0,Latin
0,Latin
0,Latin
