ImageName,ComponentLabel,Script,RecognizedText
image1.png,Text,Bengali,করেছেন
image2.png,Text,Bengali,অনেক
image3.png,Text,Bengali,শঙ্খকুমারকে
image4.png,Text,Bengali,তিরস্কার
image5.png,Text,Bengali,হাহাকার
image6.png,Text,Bengali,ভারত
image7.png,Text,Bengali,শঙ্খকুমারের
image8.png,Text,Bengali,কুঁড়েঘরের
image9.png,Text,Bengali,কৌতূহল
image10.png,Text,Bengali,দক্ষিণের
image11.png,Text,Bengali,সাষ্টাঙ্গে
image12.png,Text,Bengali,সাষ্টাঙ্গে
image13.png,Text,Bengali,ঠাকুরদা
image14.png,Text,Bengali,সন্ন্যাসীর
image15.png,Text,Bengali,ধড়
image16.png,Text,Bengali,তারা
image17.png,Text,Bengali,স্বাধীন
image18.png,Text,Bengali,বাঁদরের
image19.png,Text,Bengali,লেজ
image20.png,Text,Bengali,অনেকদিন
image21.png,Text,Bengali,আগেকার
image22.png,Text,Bengali,ল
image23.png,Text,Bengali,মেলে
image24.png,Text,Bengali,রাজত্ব
image25.png,Text,Bengali,বাঁদর
image26.png,Text,Bengali,একদিন
image27.png,Text,Bengali,চাকর
image28.png,Text,Bengali,মতলব
image29.png,Text,Bengali,১৯৬৭
image30.png,Text,Bengali,অপরটি
image31.png,Text,Bengali,ঠিকমত
image32.png,Text,Bengali,ব্যাঙকে
image33.png,Text,Bengali,মাছ
image34.png,Text,Bengali,মচাক
image35.png,Text,Bengali,য়ে
image36.png,Text,Bengali,রাজবাড়ি
image37.png,Text,Bengali,রেগেমেগে
image38.png,Text,Bengali,নদীতে
image39.png,Text,Bengali,বসবাস
image40.png,Text,Bengali,শিশু
image41.png,Text,Bengali,সন
image42.png,Text,Bengali,দেব
image43.png,Text,Bengali,ঘরে
image44.png,Text,Bengali,হবে
image45.png,Text,Bengali,নীরেন্দ্রনাথ
image46.png,Text,Bengali,বিপদ
image47.png,Text,Bengali,কবিতামালা
image48.png,Text,Bengali,বৈদ্যুতিক
image49.png,Text,Bengali,নিন
image50.png,Text,Bengali,বাড়ির
image51.png,Text,Bengali,সম্পাদক
image52.png,Text,Bengali,টেবল
image53.png,Text,Bengali,দো
image54.png,Text,Bengali,মনুমেন্ট
image55.png,Text,Bengali,নারী
image56.png,Text,Bengali,ফলশ্রুতিতে
image57.png,Text,Bengali,সুরক্ষা
image58.png,Text,Bengali,দীপ
image59.png,Text,Bengali,পশ্চিমবঙ্গ
image60.png,Text,Bengali,চেক
image61.png,Text,Bengali,কাফে
image62.png,Text,Bengali,কবিতা
image63.png,Text,Bengali,লাইন
image64.png,Text,Bengali,হাউস
image65.png,Text,Bengali,কান্ডকারখানা
image66.png,Text,Bengali,চিন্তা
image67.png,Text,Bengali,চক্রবর্তীর
image68.png,Text,Bengali,নির্বাচিত
image69.png,Text,Bengali,বাইরে
