ImageName,ComponentLabel,Script,RecognizedText
image0.png,Text,Devanagari,रामायण
image1.png,Text,Devanagari,कालेज
image2.png,Text,Devanagari,सूचना
image3.png,Text,Devanagari,ऊि
image4.png,Text,Devanagari,सलाह
image5.png,Text,Devanagari,नागपुर
image6.png,Text,Devanagari,रायपुर
image7.png,Text,Devanagari,केन्द्र
image8.png,Text,Devanagari,राज्य
image9.png,Text,Devanagari,राज्य
image10.png,Text,Devanagari,शॉप
image11.png,Text,Devanagari,डॉ.
image12.png,Text,Devanagari,सलाह
image13.png,Text,Devanagari,निगम
image14.png,Text,Devanagari,विकास
image15.png,Text,Devanagari,कृषि
image16.png,Text,Devanagari,रजनांदगाँव
image17.png,Text,Devanagari,छ.ग.
image18.png,Text,Devanagari,संस्कारधानी
image19.png,Text,Devanagari,के
image20.png,Text,Devanagari,गौरव
image21.png,Text,Devanagari,व
image22.png,Text,Devanagari,पथ
image23.png,Text,Devanagari,डॅाप्रफुल्ल
image24.png,Text,Devanagari,पर
image25.png,Text,Devanagari,हॉस्पिटल
image26.png,Text,Devanagari,आपका
image27.png,Text,Devanagari,शत्
image28.png,Text,Devanagari,अभिनन्दन
image29.png,Text,Devanagari,नगर
image30.png,Text,Devanagari,निगम
image31.png,Text,Devanagari,रजनांदगाँव
image32.png,Text,Devanagari,कार
image33.png,Text,Devanagari,कार्यालय
image34.png,Text,Devanagari,क्रेडा
image35.png,Text,Devanagari,अधिकार
image36.png,Text,Devanagari,गीता
image37.png,Text,Devanagari,वाला
image38.png,Text,Devanagari,करें
image39.png,Text,Devanagari,स्मार्टफोन
image40.png,Text,Devanagari,तकनीक
image41.png,Text,Devanagari,बोर्ड
image42.png,Text,Devanagari,निड्स
image43.png,Text,Devanagari,ठगने
image44.png,Text,Devanagari,जीती
image45.png,Text,Devanagari,द्वारा
image46.png,Text,Devanagari,बनता
image47.png,Text,Devanagari,गृहशोमा
image48.png,Text,Devanagari,का
image49.png,Text,Devanagari,सौकरहो
image50.png,Text,Devanagari,करें
image51.png,Text,Devanagari,संग
image52.png,Text,Devanagari,जैसे
image53.png,Text,Devanagari,मिला
image54.png,Text,Devanagari,किया
image55.png,Text,Devanagari,इस
image56.png,Text,Devanagari,ऊ़जशिक्खा
image57.png,Text,Devanagari,कहानिया
image58.png,Text,Devanagari,स्कूल
image59.png,Text,Devanagari,के
image60.png,Text,Devanagari,आज
image61.png,Text,Devanagari,संभाल
image62.png,Text,Devanagari,आकाश
